"threat.status.cnc","search.str"
"DD|DD|DD","Comanthera centauroides"
"VU|CR|VU","Cryptanthus zonatus"
"EN|CR|LC","Dyckia tuberosa"
"DD|LC|LC","Isostigma peucedanifolium"
"CR|EN|DD","Struthanthus flexicaulis"
"LC|VU","Annona emarginata"
"LC|VU","Asplundia brachypus"
"CR|VU","Berberis campos-portoi"
"DD|LC","Capanemia therezae"
"VU|CR","Cattleya granulosa"
"VU|EN","Cattleya wittigiana"
"DD|DD","Chamaecrista exsudans"
"LC|LC","Cleistes montana"
"EN|DD","Cuphea fuchsiifolia"
"VU|DD","Diplusodon bradei"
"DD|CR","Dyckia dusenii"
"CR|DD","Dyckia hebdingii"
"NT|NT","Epidendrum geniculatum"
"LC|LC","Epidendrum secundum"
"LC|CR","Eriocaulon aquatile"
"EN|VU","Eriocnema acaulis"
"EN|VU","Eugenia bunchosiifolia"
"LC|EN","Eugenia tenuipedunculata"
"LC|NT","Ficus hirsuta"
"CR|CR","Gomesa pectoralis"
"LC|LC","Gomesa praetexta"
"CR|LC","Gomesa uniflora"
"EN|CR","Hippeastrum vittatum"
"EN|EN","Lychnophora candelabrum"
"DD|LC","Manilkara elata"
"EN|DD","Microlicia elegans"
"EN|EN","Minaria polygaloides"
"NT|LC","Mollinedia lamprophylla"
"CR|NT","Myrcia plusiantha"
"LC|LC","Ocotea daphnifolia"
"EN|VU","Paralychnophora bicolor"
"EN|VU","Phymatidium geiselii"
"DD|DD","Pradosia glaziovii"
"DD|EN","Pseudotrimezia tenuissima"
"EN|LC","Rhynchospora tenuis"
"NT|DD","Schaueria litoralis"
"LC|DD","Schinopsis brasiliensis"
"LC|DD","Sporobolus aeneus var. angustifolius"
"NT|VU","Terminalia hoehneana"
"LC|LC","Terminalia kleinii"
"NT|CR","Verbesina floribunda"
"EN|EN","Vochysia pygmaea"
"LC|DD","Vriesea procera"
"CR|DD","Vriesea schwackeana"
"DD|DD","Warczewiczella wailesiana"
"NT|LC","Zygopetalum maculatum"
"DD","Abarema acreana"
"LC","Abarema brachystachya"
"LC","Abarema cochliacarpos"
"LC","Abarema filamentosa"
"NT","Abarema turbinata"
"DD","Abarema villifera"
"VU","Abatia angeliana"
"CR","Abildgaardia papillosa"
"LC","Abuta selloana"
"CR","Abutilon anodoides"
"LC","Abutilon costicalyx"
"CR","Abutilon nigricans"
"DD","Abutilon venosum"
"LC","Acanthocladus brasiliensis"
"NT","Acanthocladus pulcherrimus"
"NT","Acanthocladus santosii"
"DD","Acanthostachys pitcairnioides"
"VU","Acanthosyris paulo-alvinii"
"EN","Accara elegans"
"LC","Achatocarpus praecox"
"VU","Achyrocline eriodes"
"DD","Achyrocline heringeri"
"CR","Acianthera adiri"
"LC","Acianthera aphthosa"
"LC","Acianthera auriculata"
"LC","Acianthera bragae"
"LC","Acianthera crinita"
"LC","Acianthera glumacea"
"CR","Acianthera heringeri"
"LC","Acianthera karlii"
"EN","Acianthera langeana"
"DD","Acianthera ophiantha"
"VU","Acianthera papillosa"
"LC","Acianthera pectinata"
"DD","Acianthera pernambucensis"
"LC","Acianthera saurocephala"
"LC","Acianthera strupifolia"
"LC","Acianthera teres"
"LC","Acianthera translucida"
"LC","Acianthera tricarinata"
"LC","Acicarpha tribuloides"
"DD","Acmanthera fernandesii"
"EN","Acmella pusilla"
"LC","Acmella serratifolia"
"VU","Acritopappus catolesensis"
"EN","Acritopappus connatifolius"
"VU","Acritopappus irwinii"
"CR","Acritopappus pintoi"
"DD","Acroceras excavatum"
"LC","Acroceras fluminense"
"VU","Acrocomia emensis"
"LC","Acrocomia hassleri"
"DD","Actinocephalus aggregatus"
"VU","Actinocephalus barbiger"
"DD","Actinocephalus cabralensis"
"DD","Actinocephalus callophyllus"
"DD","Actinocephalus ciliatus"
"CR","Actinocephalus cipoensis"
"VU","Actinocephalus claussenianus"
"DD","Actinocephalus compactus"
"DD","Actinocephalus coutoensis"
"EN","Actinocephalus deflexus"
"DD","Actinocephalus diffusus"
"EN","Actinocephalus falcifolius"
"DD","Actinocephalus fimbriatus"
