"threat.status.mma","search.str"
"EN","Aphelandra espirito-santensis"
"VU","Aphelandra margaritae"
"EN","Aphelandra maximiliana"
"EN","Dyschoriste lavandulacea"
"CR","Dyschoriste smithii"
"EN","Justicia clausseniana"
"VU","Justicia genuflexa"
"EN","Justicia paranaensis"
"EN","Justicia polita"
"VU","Justicia ramulosa"
"VU","Justicia tijucensis"
"EN","Odontonema dissitiflorum"
"EN","Staurogyne brachiata"
"VU","Staurogyne carvalhoi"
"VU","Staurogyne elegans"
"EN","Staurogyne itatiaiae"
"EN","Staurogyne vauthieriana"
"EN","Staurogyne veronicifolia"
"EN","Staurogyne warmingiana"
"EN","Stenandrium hatschbachii"
"EN","Stenandrium stenophyllum"
"EN","Streblacanthus dubiosus"
"VU","Sagittaria lancifolia"
"EN","Alstroemeria amabilis"
"EN","Alstroemeria brasiliensis"
"CR","Alstroemeria capixaba"
"EN","Alstroemeria caryophyllaea"
"CR","Alstroemeria malmeana"
"EN","Alstroemeria orchidioides"
"EN","Alstroemeria penduliflora"
"EN","Alternanthera decurrens"
"VU","Alternanthera hirtula"
"EN","Alternanthera januarensis"
"EN","Amaranthus rosengurtii"
"EN","Froelichiella grisea"
"EN","Gomphrena centrota"
"EN","Gomphrena hatschbachiana"
"CR","Gomphrena nigricans"
"VU","Gomphrena paranensis"
"EN","Gomphrena pulchella"
"VU","Gomphrena regeliana"
"EN","Pfaffia argyrea"
"VU","Pfaffia minarum"
"EN","Quaternella glabratoides"
"EN","Eithea blumenavia"
"CR","Griffinia aracensis"
"CR","Griffinia colatinensis"
"EN","Griffinia espiritensis"
"EN","Griffinia gardneriana"
"EN","Griffinia hyacinthina"
"EN","Griffinia liboniana"
"CR","Griffinia nocturna"
"CR","Griffinia parviflora"
"CR","Griffinia paubrasilica"
"VU","Habranthus coeruleus"
"VU","Habranthus irwinianus"
"VU","Hippeastrum angustifolium"
"EN","Hippeastrum brasilianum"
"EN","Hippeastrum breviflorum"
"EN","Hippeastrum goianum"
"CR","Hippeastrum leucobasis"
"VU","Hippeastrum morelianum"
"CR","Hippeastrum papilio"
"EN","Hippeastrum psittacinum"
"EN","Hippeastrum reginae"
"EN","Hippeastrum santacatarina"
"EN","Hippeastrum striatum"
"EN","Hippeastrum vittatum"
"EN","Worsleya procera"
"VU","Zephyranthes brasiliensis"
"EN","Zephyranthes candida"
"VU","Zephyranthes capivarina"
"EN","Zephyranthes paranaensis"
"EN","Myracrodruon balansae"
"EN","Schinopsis balansae"
"VU","Anemia blechnoides"
"VU","Anemia dentata"
"VU","Anemia gardneri"
"VU","Anemia trichorhiza"
"VU","Annona maritima"
"EN","Annona parviflora"
"VU","Annona pickelii"
"EN","Annona ubatubensis"
"EN","Duguetia magnolioidea"
"CR","Duguetia restingae"
"EN","Duguetia reticulata"
"CR","Duguetia scottmorii"
"EN","Duguetia sooretamae"
"CR","Hornschuchia alba"
"EN","Hornschuchia cauliflora"
"EN","Hornschuchia obliqua"
"CR","Trigynaea axilliflora"
"EN","Trigynaea oblongifolia"
"EN","Unonopsis riedeliana"
"CR","Eryngium corallinum"
"EN","Eryngium divaricatum"
"CR","Eryngium dorae"
"EN","Eryngium falcifolium"
"VU","Eryngium koehneanum"
"EN","Eryngium ombrophilum"
"CR","Eryngium ramboanum"
"EN","Eryngium scirpinum"
"EN","Eryngium smithii"
"EN","Eryngium urbanianum"
"VU","Eryngium zosterifolium"
"EN","Klotzschia rhizophylla"
"VU","Lilaeopsis brasiliensis"
"EN","Ditassa arianeae"
"CR","Ditassa auriflora"
"EN","Ditassa cipoensis"
"EN","Ditassa cordeiroana"
"EN","Ditassa itambensis"
"EN","Ditassa laevis"
"VU","Ditassa leonii"
"EN","Ditassa longisepala"
"EN","Ditassa maricaensis"
"EN","Ditassa oberdanii"
"CR","Gonolobus dorothyanus"
"EN","Gyrostelma bornmuelleri"
"EN","Gyrostelma oxypetaloides"
"CR","Hemipogon abietoides"
"EN","Hemipogon furlanii"
"CR","Hemipogon hatschbachii"
"CR","Hemipogon piranii"
"EN","Jobinia hatschbachii"
"CR","Macroditassa marianae"
"CR","Marsdenia otoniensis"
"EN","Marsdenia queirozii"
"EN","Matelea bahiensis"
"VU","Matelea glaziovii"
"EN","Matelea hatschbachii"
"VU","Matelea marcoassisii"
"EN","Matelea santosii"
"EN","Metastelma giuliettianum"
"EN","Metastelma harleyi"
"CR","Minaria bifurcata"
"CR","Minaria diamantinensis"
"EN","Minaria grazielae"
"EN","Minaria harleyi"
"CR","Minaria hemipogonoides"
"EN","Minaria inconspicua"
"EN","Minaria magisteriana"
"CR","Minaria monocoronata"
"EN","Minaria polygaloides"
"VU","Minaria refractifolia"
"EN","Minaria semirii"
"EN","Minaria volubilis"
"CR","Monsanima morrenioides"
"EN","Oxypetalum dusenii"
"EN","Oxypetalum ekblomii"
"EN","Oxypetalum glaziovii"
"EN","Oxypetalum leonii"
"CR","Oxypetalum mexiae"
"EN","Prestonia solanifolia"
"EN","Tabernaemontana cumata"
"CR","Ilex auricula"
"VU","Ilex loranthoides"
"CR","Ilex prostrata"
"VU","Anthurium jureianum"
"EN","Anthurium langsdorffii"
"EN","Anthurium lucidum"
"EN","Anthurium luschnathianum"
"VU","Anthurium radicans"
"VU","Anthurium xanthophylloides"
"VU","Heteropsis flexuosa"
"EN","Philodendron fragile"
"EN","Philodendron spiritus-sancti"
"EN","Hydrocotyle langsdorffii"
"CR","Schefflera aurata"
"EN","Schefflera gardneri"
"EN","Schefflera glaziovii"
"VU","Schefflera sprucei"
"EN","Schefflera succinea"
"EN","Araucaria angustifolia"
"VU","Acrocomia emensis"
"VU","Allagoptera brevicalyx"
"VU","Attalea barreirensis"
"EN","Attalea brasiliensis"
"EN","Bactris timbuiensis"
"VU","Butia capitata"
"VU","Butia eriospatha"
"CR","Butia leptospatha"
"VU","Butia microspadix"
"EN","Butia purpurascens"
"VU","Butia yatay"
"VU","Euterpe edulis"
"VU","Lytocaryum insigne"
"VU","Syagrus glaucescens"
"EN","Syagrus macrocarpa"
"CR","Syagrus mendanhensis"
"VU","Syagrus picrophylla"
"VU","Syagrus ruschiana"
"EN","Aristolochia hypoglauca"
"VU","Aristolochia odora"
"EN","Gongylanthus liebmannianus"
"CR","Southbya organensis"
"CR","Asplenium beckeri"
"EN","Asplenium bradeanum"
"EN","Asplenium castaneum"
"CR","Asplenium schwackei"
"CR","Asplenium trindadense"
"EN","Acmella pusilla"
"VU","Acritopappus catolesensis"
"EN","Acritopappus connatifolius"
"VU","Acritopappus irwinii"
"CR","Acritopappus pintoi"
"EN","Agrianthus almasensis"
"EN","Agrianthus giuliettiae"
"EN","Aldama corumbensis"
"EN","Aldama filifolia"
"VU","Aldama goyazii"
"CR","Aldama linearifolia"
"CR","Aldama paranensis"
"EN","Aldama vernonioides"
"EN","Anteremanthus hatschbachii"
"VU","Aspilia almasensis"
"CR","Aspilia belo-horizontinae"
"EN","Aspilia caudata"
"EN","Aspilia cordifolia"
"VU","Aspilia cylindrocephala"
"EN","Aspilia diamantinae"
"VU","Aspilia diffusiflora"
"CR","Aspilia diniz-cruzeanae"
"CR","Aspilia eglerii"
"EN","Aspilia espinhacensis"
"EN","Aspilia grazielae"
"CR","Aspilia jugata"
"CR","Aspilia ovalifolia"
"EN","Aspilia pereirae"
"EN","Aspilia prostrata"
"VU","Aspilia reticulata"
"EN","Aspilia silphioides"
"VU","Austroeupatorium rosmarinaceum"
"EN","Baccharis aracatubensis"
"VU","Baccharis concinna"
"EN","Baccharis elliptica"
"EN","Baccharis hypericifolia"
"VU","Baccharis lychnophora"
"VU","Baccharis penningtonii"
"VU","Baccharis polyphylla"
"VU","Baccharis pseudoalpestris"
"EN","Caatinganthus rubropappus"
"CR","Calea abbreviata"
"VU","Calea acaulis"
"CR","Calea brittoniana"
"VU","Calea gentianoides"
"EN","Calea heteropappa"
"EN","Calea kristiniae"
"VU","Campuloclinium parvulum"
"CR","Catolesia mentiens"
"CR","Chaptalia chapadensis"
"VU","Chaptalia cordifolia"
"CR","Chaptalia hermogenis"
"VU","Chionolaena lychnophorioides"
"EN","Chresta souzae"
"EN","Chromolaena angusticeps"
"EN","Chromolaena arrayana"
"EN","Chromolaena costatipes"
"EN","Chromolaena rhinanthacea"
"VU","Chronopappus bifrons"
"VU","Chrysolaena nicolackii"
"EN","Cololobus longiangustatus"
"EN","Cololobus rupestris"
"VU","Dendrophorbium catharinense"
"EN","Dendrophorbium paranense"
"EN","Dimerostemma annuum"
"EN","Dimerostemma episcopale"
"VU","Dimerostemma grazielae"
"EN","Dimerostemma myrtifolium"
"EN","Disynaphia ericoides"
"EN","Disynaphia praeficta"
"EN","Disynaphia variolata"
"EN","Echinocoryne echinocephala"
"EN","Eremanthus argenteus"
"EN","Eremanthus leucodendron"
"VU","Eremanthus polycephalus"
"VU","Gochnatia rotundifolia"
"EN","Gyptis vernoniopsis"
"CR","Heterocoma albida"
"VU","Heterocondylus lysimachioides"
"EN","Hoehnephytum almasense"
"EN","Holocheilus hieracioides"
"EN","Holocheilus monocephalus"
"EN","Hysterionica pinnatiloba"
"CR","Hysterionica pinnatisecta"
"CR","Ianthopappus corymbosus"
"EN","Ichthyothere elliptica"
"CR","Lepidaploa almasensis"
"EN","Lepidaploa gnaphalioides"
"EN","Lepidaploa pseudaurea"
"EN","Lepidaploa spixiana"
"EN","Leptostelma catharinense"
"EN","Lessingianthus adenophyllus"
"EN","Lessingianthus asteriflorus"
"CR","Lessingianthus constrictus"
"EN","Lessingianthus eitenii"
"VU","Lessingianthus exiguus"
"VU","Lessingianthus irwinii"
"VU","Lessingianthus pumillus"
"VU","Lessingianthus reitzianus"
"EN","Lessingianthus rosmarinifolius"
"EN","Lessingianthus souzae"
"VU","Lessingianthus stoechas"
"EN","Lessingianthus subcarduoides"
"EN","Lessingianthus venosissimus"
"EN","Lessingianthus westermanii"
"VU","Lessingianthus zuccarinianus"
"EN","Lomatozona artemisiifolia"
"EN","Lulia nervosa"
"CR","Lychnophora albertinioides"
"CR","Lychnophora brunioides"
"EN","Lychnophora crispa"
"EN","Lychnophora diamantinana"
"EN","Lychnophora gardneri"
"EN","Lychnophora granmogolensis"
"CR","Lychnophora humillima"
"EN","Lychnophora markgravii"
"EN","Lychnophora martiana"
