search.str,threat.status.mma2022
Aphelandra espirito-santensis,EN
Aphelandra margaritae,VU
Aphelandra maximiliana,EN
Aphelandra rigida,EN
Aphelandra stephanophysa,VU
Dyschoriste lavandulacea,EN
Dyschoriste smithii,CR
Justicia clausseniana,EN
Justicia genuflexa,VU
Justicia meyeniana,EN
Justicia nervata,EN
Justicia polita,EN
Justicia ramulosa,VU
Justicia tijucensis,VU
Odontonema dissitiflorum,EN
Pachystachys dubiosa,EN
Schaueria paranaensis,EN
Staurogyne brachiata,EN
Staurogyne elegans,VU
Staurogyne euryphylla,EN
Staurogyne itatiaiae,EN
Staurogyne vauthieriana,EN
Staurogyne veronicifolia,EN
Staurogyne warmingiana,EN
Stenandrium hatschbachii,EN
Stenandrium stenophyllum,EN
Kuhlmanniodendron macrocarpum,EN
Sagittaria lancifolia,VU
Alstroemeria amabilis,EN
Alstroemeria brasiliensis,EN
Alstroemeria capixaba,CR
Alstroemeria caryophyllaea,EN
Alstroemeria malmeana,CR
Alstroemeria orchidioides,EN
Alstroemeria penduliflora,EN
Alternanthera hirtula,VU
Alternanthera januarensis,EN
Amaranthus rosengurtii,EN
Froelichiella grisea,EN
Gomphrena centrota,EN
Gomphrena hatschbachiana,EN
Gomphrena nigricans,CR
Gomphrena paranensis,VU
Gomphrena pulchella,EN
Gomphrena regeliana,VU
Pfaffia argyrea,EN
Pfaffia minarum,VU
Quaternella glabratoides,EN
Griffinia aracensis,CR
Griffinia colatinensis,CR
Griffinia espiritensis,EN
Griffinia gardneriana,EN
Griffinia hyacinthina,EN
Griffinia intermedia,EN
Griffinia liboniana,EN
Griffinia nocturna,CR
Griffinia parviflora,CR
Griffinia paubrasilica,CR
Hippeastrum angustifolium,VU
Hippeastrum brasilianum,EN
Hippeastrum breviflorum,EN
Hippeastrum leucobasis,CR
Hippeastrum morelianum,VU
Hippeastrum,CR
Hippeastrum psittacinum,EN
Hippeastrum,EN
Hippeastrum santacatarina,EN
Hippeastrum striatum,EN
Hippeastrum vittatum,EN
Worsleya procera,EN
Zephyranthes blumenavia,EN
Zephyranthes candida,EN
Zephyranthes capivarina,VU
Zephyranthes coerulea,VU
Zephyranthes irwiniana,VU
Zephyranthes paranaensis,EN
Astronium balansae,EN
Astronium glaziovii,EN
Astronium pumilum,VU
Campnosperma gummiferum,EN
Schinopsis balansae,EN
Schinus ramboi,EN
Spondias admirabilis,EN
Spondias bahiensis,EN
Thyrsodium bolivianum,EN
Anemia blechnoides,VU
Anemia dentata,VU
Anemia gardneri,VU
Anemia trichorhiza,VU
Anisophyllea manausensis,VU
Annona angustifolia,EN
Annona ferruginea,CR
Annona gardneri,EN
Annona parviflora,VU
Bocagea viridis,VU
Cymbopetalum euneurum,EN
Duguetia bahiensis,VU
Duguetia duckei,EN
Duguetia magnolioidea,EN
Duguetia microphylla,EN
Duguetia pohliana,EN
Duguetia restingae,CR
Duguetia rotundifolia,VU
Duguetia scottmorii,EN
Duguetia sooretamae,EN
Duguetia subcordata,EN
Guatteria attenuata,CR
Guatteria hispida,EN
Guatteria latifolia,EN
Guatteria stenocarpa,EN
Hornschuchia alba,CR
Hornschuchia cauliflora,EN
Hornschuchia leptandra,EN
Hornschuchia lianarum,EN
Hornschuchia myrtillus,VU
Hornschuchia obliqua,EN
Hornschuchia santosii,EN
Oxandra unibracteata,CR
Pseudoxandra bahiensis,VU
Pseudoxandra spiritus-sancti,EN
Trigynaea axilliflora,EN
Trigynaea oblongifolia,EN
Unonopsis aurantiaca,EN
Unonopsis bauxitae,CR
Unonopsis riedeliana,EN
Unonopsis sanctae-teresae,CR
Xylopia atlantica,EN
Xylopia brasiliensis,VU
Xylopia decorticans,EN
Xylopia involucrata,VU
Xylopia trichostemon,VU
Eryngium corallinum,CR
Eryngium divaricatum,EN
Eryngium dorae,CR
Eryngium falcifolium,EN
Eryngium fluminense,VU
Eryngium koehneanum,VU
Eryngium ombrophilum,EN
Eryngium ramboanum,CR
Eryngium scirpinum,EN
Eryngium smithii,EN
Eryngium urbanianum,EN
Eryngium zosterifolium,VU
Klotzschia rhizophylla,EN
Lilaeopsis brasiliensis,VU
Aspidosperma auriculatum,EN
Aspidosperma castroanum,EN
Aspidosperma confertiflorum,EN
Aspidosperma formosanum,EN
Aspidosperma huberianum,EN
Aspidosperma nigricans,EN
Aspidosperma obscurinervium,EN
Aspidosperma occidentale,EN
Aspidosperma oliganthum,EN
Aspidosperma parvifolium,EN
Aspidosperma rizzoanum,EN
Aspidosperma salgadense,EN
Aspidosperma thomasii,EN
Ditassa auriflora,CR
Ditassa cipoensis,EN
Ditassa cordeiroana,EN
Ditassa itambensis,EN
Ditassa laevis,EN
Ditassa leonii,VU
Ditassa longisepala,EN
Ditassa maricaensis,EN
Ditassa melantha,EN
Ditassa oberdanii,EN
Gonolobus dorothyanus,EN
Gyrostelma bornmuelleri,EN
Gyrostelma oxypetaloides,EN
Hemipogon abietoides,CR
Hemipogon hatschbachii,CR
Jobinia hatschbachii,EN
Lacmellea bahiensis,EN
Lacmellea pauciflora,EN
Macroditassa marianae,CR
Malouetia amazonica,EN
Malouetia gracillima,EN
Malouetia lata,EN
Mandevilla crassinoda,EN
Marsdenia otoniensis,CR
Marsdenia queirozii,EN
Matelea bahiensis,EN
Matelea glaziovii,VU
Matelea hatschbachii,EN
Matelea marcoassisii,VU
Metastelma giuliettianum,EN
Metastelma harleyi,EN
Minaria bifurcata,CR
Minaria diamantinensis,CR
Minaria grazielae,EN
Minaria harleyi,EN
Minaria hemipogonoides,CR
Minaria magisteriana,EN
Minaria monocoronata,CR
Minaria polygaloides,EN
Minaria refractifolia,VU
Minaria semirii,EN
Minaria volubilis,EN
Monsanima morrenioides,CR
Monsanima tinguaensis,VU
Morilloa furlanii,EN
Morilloa piranii,CR
Mucoa duckei,EN
Orthosia arenosa,EN
Oxypetalum cordifolium subsp. mexiae,CR
Oxypetalum costae,CR
Oxypetalum dusenii,EN
Oxypetalum ekblomii,EN
Oxypetalum glaziovii,EN
Oxypetalum leonii,EN
Oxypetalum schottii,EN
Parahancornia krukovii,EN
Prestonia solanifolia,EN
Rauvolfia capixabae,EN
Spongiosperma longilobum,EN
Tabernaemontana cumata,EN
Cathedra paraensis,EN
Ilex auricula,EN
Ilex diuretica,VU
Ilex euryaeformis,EN
Ilex loranthoides,VU
Ilex prostrata,CR
Ilex sapiiformis,CR (PEX)
Ilex schwackeana,VU
Anthurium augustinum,EN
Anthurium binotii,EN
Anthurium bragae,EN
Anthurium cronembergerae,EN
Anthurium jureianum,VU
Anthurium langsdorffii,EN
Anthurium laucheanum,EN
Anthurium lhotzkyanum,VU
Anthurium lucidum,CR
Anthurium luschnathianum,EN
Anthurium radicans,VU
Anthurium sakuraguianum,CR
Anthurium simonii,EN
Anthurium xanthophylloides,VU
Heteropsis flexuosa,VU
Philodendron alternans,EN
Philodendron fragile,EN
Philodendron luisae,CR
Philodendron nadruzianum,EN
Philodendron spiritus-sancti,EN
Aralia bahiana,EN
Dendropanax amorimii,EN
Dendropanax denticulatus,EN
Dendropanax geniculatus,CR
Dendropanax heterophyllus,CR
Dendropanax langsdorfii,VU
Dendropanax nebulosus,EN
Dendropanax trilobus,CR
Didymopanax acuminatus,EN
Didymopanax auratus,EN
Didymopanax capixabus,CR
Didymopanax gardneri,EN
Didymopanax glaziovii,EN
Didymopanax grandigemmus,CR
Didymopanax kollmannii,EN
Didymopanax plurifolius,VU
Didymopanax racemiferus,CR
Didymopanax ruschianus,CR
Didymopanax villosissimus,EN
Hydrocotyle bradei,CR
Hydrocotyle langsdorffii,EN
Hydrocotyle ulei,EN
Sciodaphyllum sprucei,EN
Araucaria angustifolia,EN
Acrocomia emensis,VU
Allagoptera brevicalyx,VU
Attalea barreirensis,VU
Bactris timbuiensis,EN
Butia capitata,VU
Butia eriospatha,VU
Butia exilata,CR
Butia leptospatha,CR
Butia microspadix,VU
Butia purpurascens,EN
Butia yatay,VU
Euterpe edulis,VU
Syagrus glaucescens,VU
Syagrus macrocarpa,EN
Syagrus mendanhensis,CR
Syagrus picrophylla,VU
Syagrus ruschiana,VU
Syagrus weddelliana,EN
Trithrinax acanthocoma,VU
Aristolochia hypoglauca,EN
Aristolochia odora,VU
Aristolochia raja,EN
Gongylanthus liebmannianus,EN
Southbya organensis,CR
Asplenium beckeri,CR
Asplenium bradeanum,EN
Asplenium cariocanum,EN
Asplenium castaneum,EN
Asplenium schwackei,CR
Asplenium trindadense,CR
Achyrocline eriodes,VU
Acmella pusilla,EN
Acritopappus buiquensis,CR
Acritopappus catolesensis,EN
Acritopappus connatifolius,EN
Acritopappus harleyi,CR
Acritopappus irwinii,VU
Acritopappus pereirae,CR
Acritopappus pintoi,EN
Acritopappus prunifolius,VU
Acritopappus subtomentosus,CR
Acritopappus teixeirae,VU
Agrianthus almasensis,EN
Agrianthus giuliettiae,EN
Aldama corumbensis,EN
Aldama filifolia,EN
Aldama goyazii,VU
Aldama linearifolia,CR
Aldama paranensis,CR
Aldama vernonioides,EN
Anteremanthus hatschbachii,EN
Anteremanthus piranii,EN
Aspilia almasensis,VU
Aspilia belo-horizontinae,CR
Aspilia caudata,EN
Aspilia cordifolia,EN
Aspilia cylindrocephala,VU
Aspilia diamantinae,EN
Aspilia diffusiflora,VU
Aspilia diniz-cruzeanae,CR
Aspilia eglerii,CR
Aspilia espinhacensis,EN
Aspilia grazielae,EN
Aspilia jugata,CR
Aspilia ovatifolia,CR
Aspilia pereirae,EN
Aspilia prostrata,EN
Aspilia reticulata,VU
Aspilia silphioides,EN
Austrocritonia rosea,EN
Austrocritonia taunayana,EN
Austroeupatorium rosmarinaceum,VU
Baccharis aracatubensis,EN
Baccharis bifrons,EN
Baccharis ciliata,CR
Baccharis concinna,VU
Baccharis elliptica,EN
Baccharis friburgensis,EN
Baccharis hypericifolia,EN
Baccharis lychnophora,VU
Baccharis penningtonii,VU
Baccharis polyphylla,VU
Baccharis pseudoalpestris,VU
Baccharis pseudovaccinioides,CR
Caatinganthus rubropappus,EN
Calea abbreviata,CR
Calea acaulis,VU
Calea brittoniana,CR
Calea gentianoides,VU
Calea heteropappa,EN
Calea kristiniae,EN
Calea wedelioides,EN
Campuloclinium parvulum,VU
Catolesia mentiens,CR
Chaptalia chapadensis,CR
Chaptalia cordifolia,VU
Chaptalia hermogenis,CR
Chionolaena lychnophorioides,VU
Chresta souzae,EN
Chromolaena arrayana,EN
Chromolaena costatipes,EN
Chromolaena rhinanthacea,EN
Chronopappus bifrons,EN
Chrysolaena nicolackii,VU
Cololobus longiangustatus,EN
Cololobus rupestris,EN
Dasyphyllum cryptocephalum,EN
Dasyphyllum leptacanthum,EN
Dendrophorbium catharinense,VU
Dendrophorbium paranense,EN
Dimerostemma annuum,EN
Dimerostemma episcopale,EN
Dimerostemma grazielae,VU
Dimerostemma myrtifolium,EN
Disynaphia ericoides,EN
Disynaphia praeficta,EN
Disynaphia variolata,EN
Echinocoryne echinocephala,EN
Eremanthus arboreus,CR
Eremanthus argenteus,EN
Eremanthus auriculatus,VU
Eremanthus brevifolius,CR
Eremanthus ovatifolius,CR
Eremanthus praetermissus,VU
Eremanthus reticulatus,EN
Eremanthus syncephalus,EN
Eremanthus veadeiroensis,EN
Fulcaldea stuessyi,CR
Graphistylis cuneifolia,CR
Heterocoma albida,CR
Heterocoma ekmaniana,EN
Heterocoma erecta,EN
Heterocoma lanuginosa,EN
Heterocondylus lysimachioides,VU
Hoehnephytum almasense,EN
Holocheilus hieracioides,EN
Holocheilus monocephalus,EN
Hololepis hatschbachii,CR
Hysterionica pinnatiloba,EN
Hysterionica pinnatisecta,CR
Ianthopappus corymbosus,CR
Ichthyothere elliptica,EN
Lepidaploa almasensis,CR
Lepidaploa araujoa,CR
Lepidaploa gnaphalioides,EN
Lepidaploa obtusifolia,EN
Lepidaploa persicifolia,VU
Lepidaploa pseudaurea,EN
Lepidaploa spixiana,EN
Leptostelma catharinense,EN
Lessingianthus adenophyllus,EN
Lessingianthus asteriflorus,EN
Lessingianthus constrictus,CR
Lessingianthus eitenii,EN
Lessingianthus exiguus,VU
Lessingianthus glaziovianus,EN
Lessingianthus irwinii,VU
Lessingianthus pumillus,VU
Lessingianthus reitzianus,VU
Lessingianthus rosmarinifolius,EN
Lessingianthus souzae,EN
Lessingianthus stoechas,VU
Lessingianthus subcarduoides,EN
Lessingianthus venosissimus,EN
Lessingianthus westermanii,EN
Lessingianthus zuccarinianus,VU
Lomatozona artemisiifolia,EN
Lulia nervosa,EN
Lychnocephalus humillimus,CR
Lychnocephalus mellobarretoi,EN
Lychnocephalus sellovii,EN
Lychnocephalus tomentosus,VU
Lychnophora albertinioides,CR
Lychnophora brunioides,CR
Lychnophora candelabrum,VU
Lychnophora crispa,EN
Lychnophora damazioi,EN
Lychnophora diamantinana,EN
Lychnophora gardneri,VU
Lychnophora hatschbachii,EN
Lychnophora martiana,EN
Lychnophora pohlii,VU
Lychnophora ramosissima,VU
Lychnophora rosmarinifolia,VU
Lychnophora rupestris,EN
Lychnophora souzae,CR
Lychnophora staavioides,EN
Lychnophora villosissima,VU
Lychnophorella leucodendron,EN
Lychnophorella regis,EN
Lychnophorella santosii,EN
Lychnophorella sericea,CR
Macropodina bradei,EN
Maschalostachys markgrafii,EN
Maschalostachys mellosilvae,EN
Mikania additicia,EN
Mikania alvimii,EN
Mikania anethifolia,EN
Mikania argyreiae,VU
Mikania cabrerae,EN
Mikania campos-portoana,EN
Mikania cipoensis,EN
Mikania clematidifolia,VU
Mikania dusenii,CR
Mikania firmula,VU
Mikania glabra,EN
Mikania glauca,EN
Mikania hartbergii,EN
Mikania hastato-cordata,VU
Mikania hastifolia,EN
Mikania itambana,EN
Mikania neurocaula,EN
Mikania oreophila,EN
Mikania pinnatiloba,EN
Mikania premnifolia,EN
Mikania pteropoda,EN
Mikania variifolia,EN
Mikania vauthieriana,EN
Mikania viminea,EN
Mikania warmingii,EN
Minasia alpestris,EN
Minasia pereirae,EN
Minasia scapigera,EN
Monogereion carajensis,CR
Moquiniastrum argyreum,EN
Moquiniastrum cordatum,EN
Moquiniastrum hatschbachii,VU
Moquiniastrum mollissimum,CR
Moquiniastrum ramboi,VU
Moquiniastrum sordidum,VU
Neocabreria malachophylla,VU
Noticastrum hatschbachii,EN
Noticastrum malmei,EN
Noticastrum psammophilum,EN
Ophryosporus organensis,CR
Pamphalea araucariophila,EN
Pamphalea cardaminifolia,EN
Pamphalea maxima,CR
Pamphalea ramboi,CR
Pamphalea smithii,EN
Paralychnophora atkinsiae,CR
Paralychnophora bicolor,VU
Paralychnophora harleyi,VU
Paralychnophora patriciana,EN
Perezia eryngioides,EN
Perezia multiflora,EN
Picrosia cabreriana,CR
Piptocarpha longipedunculata,EN
Piptocarpha robusta,EN
Piptocarpha verticillata,EN
Piptolepis buxoides,EN
Piptolepis imbricata,CR
Piptolepis leptospermoides,CR
Porophyllum bahiense,VU
Proteopsis argentea,VU
Richterago angustifolia,EN
Richterago arenaria,VU
Richterago campestris,EN
Richterago caulescens,CR
Richterago conduplicata,EN
Richterago elegans,VU
Richterago hatschbachii,EN
Richterago lanata,EN
Richterago petiolata,EN
Richterago polyphylla,EN
Richterago riparia,VU
Richterago stenophylla,EN
Richterago suffrutescens,CR
Schlechtendalia luzulifolia,EN
Senecio almasensis,CR
Senecio arctiifolius,EN
Senecio caparaoensis,EN
Senecio gertii,EN
Senecio graciellae,EN
Senecio hatschbachii,EN
Senecio heteroschizus,EN
Senecio langei,VU
Senecio promatensis,CR
Senecio ramboanus,EN
Senecio ramentaceus,VU
Senecio riograndensis,EN
Smallanthus araucariophilus,CR
Smallanthus riograndensis,EN
Stevia catharinensis,EN
Stevia hilarii,CR
Stevia leptophylla,EN
Stevia organensis,EN
Stevia riedelli,EN
Stevia selloi,VU
Steyermarkina dispalata,VU
Stifftia fruticosa,VU
Stilpnopappus semirianus,EN
Stilpnopappus suffruticosus,CR
Stomatanthes loefgrenii,CR
Strophopappus bicolor,EN
Strophopappus ferrugineus,EN
Stylotrichium corymbosum,EN
Stylotrichium edmundoi,EN
Stylotrichium glomeratum,CR
Stylotrichium sucrei,EN
Symphyopappus uncinatus,EN
Trichocline linearifolia,VU
Trichogoniopsis podocarpa,EN
Trixis glaziovii,VU
Trixis pallida,CR
Vernonanthura fagifolia,VU
Vernonanthura spathulata,CR
Vickia rotundifolia,VU
Wedelia macedoi,CR
Wunderlichia azulensis,VU
Wunderlichia insignis,EN
Wunderlichia senae,EN
Begonia albidula,EN
Begonia altamiroi,EN
Begonia apparicioi,EN
Begonia bahiensis,EN
Begonia besleriifolia,EN
